id,purchase_counts,purchase_sum,attribution_score,website_visits,website_behavior_classification,experience,active,characteristic_one,characteristic_two,characteristic_three,customer_journey_progress_program,remarks
5ca74cdcfc13ae60bd000097,5,44810.57,4,14,5,0,2.05,1,25,3,2,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
5ca74cddfc13ae60bd0000f5,5,30612.91,9,7,9,0,4.94,2,25,3,1,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
5ca74cddfc13ae60bd00010a,7,35655.59,3,26,5,0,3.61,1,26,1,1,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
5ca74cdcfc13ae60bd000073,7,30139.24,7,9,4,0.01,4.44,2,26,3,1,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
5ca74cdcfc13ae60bd000040,4,4501.13,3,10,1,0.02,4.51,1,25,3,1,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
5ca74cddfc13ae60bd0000be,1,21255.46,8,29,5,0.02,2.76,2,26,3,1,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque."
5ca74cddfc13ae60bd00012c,2,17870.8,12,23,5,0.02,1.39,2,27,4,1,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
5ca74cddfc13ae60bd000188,3,4494.4,5,26,3,0.02,3.27,1,24,5,3,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit."
5ca74cddfc13ae60bd0000c7,2,20790.54,7,10,6,0.03,4.34,1,25,6,1,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
5ca74cddfc13ae60bd000141,4,33321.57,9,31,2,0.03,4.5,2,26,5,1,"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi."
